darija,eng,darija_ar
tbaznisa,deal,تبازنيسا
t8jaj,noise,تهجاج
ta8jaj,noise,تاهجاج
tahjaj,noise,تاهجاج
9oz9oza7,rainbow,قوزقوزاح
9ous9oza7,rainbow,قوسقوزاح
9aws9oza7,rainbow,قاوسقوزاح
9aws 9oza7,rainbow,قاوس قوزاح
3zwa,well done,عزوا
Saa7a,well done,صاحا
m3elem,great job,معلم
wa3r,great job,واعر
mwrre9,noticeable,مورّق
mwerre9,noticeable,مورّق
3wachr,feasts,عواشر
3wacher,feasts,عواشر
naDi,excellent,ناضي
naaDi,excellent,ناضي
8nnina,be quiet,هنّينا
8ennina,be quiet,هنّينا
8annina,be quiet,هانّينا
fog chchb3a,extra,فوڭ الشبعا
dyal lmchkhara,ridiculous,ديال لمشخارا
dyal lmechkhara,ridiculous,ديال لمشخارا
chchann TTann,swiftly,الشانّ الطانّ
ml3ouba,feasible,ملعوبا
ml3oba,feasible,ملعوبا
n7ila,swift,نحيلا
8rrbo lia,blow my mind,هرّبو ليا
hrebt,blow my mind,هربت
lherba,blow my mind,لهربا
hrrbni,blow my mind,هرّبني
Dbber 3la,found,ضبّر علا
khrrej 3inih,stare,خرّج عينيه
jb8a,bold,جبها
jab8a,bold,جابها
jeb8a,bold,جبها
jbha,bold,جبها
snTi7a,bold,سنطيحا
senTi7a,bold,سنطيحا
SnTi7a,bold,صنطيحا
mrigl,tricky,مريڭل
blan,a good deal,بلان
blaan,a good deal,بلان
wakwakk,oh god,واكواكّ
wakwak,oh god,واكواك
makat9chcherch,,ماكاتقشّرش
makat9cherch,,ماكاتقشرش
makat9echerch,,ماكاتقشرش
makat9echcharch,,ماكاتقشّارش
a7,oh,أح
lays3d lmasa,good evening,لايسعد لماسا
jlakha,bad guy,جلاخا
jla5a,bad guy,جلاخا
tl9na,harry up,تلقنا
tle9na,harry up,تلقنا
tla9na,harry up,تلاقنا
serbina,harry up,سربينا
serbi,harry up,سربي
sarbina,harry up,ساربينا
ahya,oh,أهيا
sat,homie,سات
l3chir,homie,لعشير
3chiri,homie,عشيري
fri3 rass,distubance,فريع راسّ
sda3,distubance,سداع
sda3 rass,distubance,سداع راسّ
khwadri,brother,خوادري
khawa,brother,خاوا
5wadri,brother,خوادري
5awa,brother,خاوا
khwadria,sister,خوادريا
5wadria,sister,خوادريا
thela,see you,تهلا
thella,see you,تهلّا
t8ala,see you,تهالا
thala,see you,تهالا
mafih maytchaf,really bad,مافيه مايتشاف
mafih maytlbbe9,really bad,مافيه مايتلبّق
lays3d SSaba7,good morning,لايسعد الصاباح
lays3d Saba7,good morning,لايسعد صاباح
lays3dSSaba7,good morning,لايسعدصّاباح
lays3dssaba7,good morning,لايسعدسّاباح
lays3d lmasa,good night,لايسعد لماسا
lays3dlmasa,good night,لايسعدلماسا
lah is3d lmasa,good night,الله إسعد لماسا
lah is3ed lmasa,good night,الله إسعد لماسا
TTali3a,taunt,الطاليعا
hreb lih,he lost his mind,هرب ليه
8reb lih,he lost his mind,هرب ليه
8reb li8,he lost his mind,هرب ليه
hreb li8,he lost his mind,هرب ليه
9chchabto was3a,He has a good sense of humor,قشّابتو واسعا
9chabto was3a,He has a good sense of humor,قشابتو واسعا
9echabto was3a,He has a good sense of humor,قشابتو واسعا
9echchabto was3a,He has a good sense of humor,قشّابتو واسعا
tta zfta,anything,تا زفتا
7tta zfta,anything,حتّا زفتا
makanakolsh makla li fiha l7lib,i don't eat dairy,ماكاناكولسه ماكلا لي فيها لحليب
fiya l7asasiyya dyal...,i am allergic to...,فيا لحساسيّة ديال...
3afak jib li...,please bring me...,عافاك جيب لي...
wash 3andkom...?,do you have...?,واسه عاندكوم...?
bghina...,we would like to have...,بغينا...
hlow bzzaf,it is too sweet,هلوو بزّاف
bghit atay bla sokar,i want tea with no sugar,بغيت أتاي بلا سوكار
wash nta mzwj?,are you married?,واسه نتا مزوج?
wash nti mzwja?,are you married?,واسه نتي مزوجا?
ana mzwj  mzwja,i am married,أنا مزوج مزوجا
sh7al mn wlad 3andk?,how many children do you have?,سهحال من ولاد عاندك?
hada sa7bi,this is my friend,هادا صاحبي
hadi sa7ebti,this is my friend,هادي صاحبتي
twa7sht familti,i miss my family,تواحسهت فاميلتي
shno smit had lwad?,what is this river's name?,سهنو سميت هاد لواد?
hna zwin bzzaf,it is very beautiful here,هنا زوين بزّاف
jnanat zwinin,the fields are beautiful,جنانات زوينين
s5on had lyom,it is hot today,سخون هاد ليوم
bard l7al lyom,it is cold today,بارد لحال ليوم
kayna shta 5edda,it will rain tomorrow,كاينا سهتا خدّا
jbal hna zwinin bzzaf,the mountains here are pretty,جبال هنا زوينين بزّاف
jani lbrd,i feel cold,جاني لبرد
wash tayti7 tlj bzaf hna?,does it snow a lot here?,واسه تايتيح تلج بزاف هنا?
fin kayn so9 3afak?,where is the souk please?,فين كاين سوق عافاك?
3afak 3tini...,please give me...,عافاك عتيني...
bsh7al hada...?,how much is that...?,بشحال هادا...?
bsh7al hadi...?,how much is that...?,بشحال هادي...?
3tini kilo dyal...,give me a kilo of...,عتيني كيلو ديال...
ghali bzzaf,too expensive,غالي بزّاف
n9es shwiya 3afak,remove a little bit,نقس سهويا عافاك
wash n9dr njrbo?,can i try it on?,واسه نقدر نجربو?
majash m3aya,it doesn't kit,ماجاسه معايا
wash kayn hada f lon a5er?,do you have it in any other color?,واسه كاين هادا ف لون أخر?
mabghitsh hada,i don't want this one,مابغيتسه هادا
bghit nshri hada,i want to buy this,بغيت نسهري هادا
bghit nshri tnabr,i want to buy stamps,بغيت نسهري تنابر
bghit nsift...,i want to send...,بغيت نسيفت...
bsh7al ghadi nsift cart postal l'mirikan?,how much is it to send a post card to the usa?,بسهحال غادي نسيفت كارت پوستال ل'ميريكان?
ana mrid,i am sick,أنا مريد
ana mrida,i am sick,أنا مريدا
tan7as bl3ya,i feel tired,تانحاس بلعيا
darni rasi,i have a headache,دارني راسي
karshi tadrni,my stomach hurts,كارسهي تادرني
fiya ladyari min lbar7,i have diarrhea since yesterday,فيا لادياري مين لبارح
fin ja sbitar? 3afak,where is the hospital? please,فين جا سبيتار? عافاك
khasni nchof lfrmliy 3afak,"i need to see the nurse, please",خاسني نشوف لفرملي عافاك
imta tay7al sbitar 3afak?,what time does the clinic open please?,إمتا تايحال سبيتار عافاك?
bash tat7as?,how do you feel?,باسه تاتحاس?
wash nta bi5ir ?,are you okay?,واسه نتا بيخير ?
5ask tshrb bzaf d lma,you should drink more water,خاسك تسهرب بزاف د لما
shno kat5ars f jarda dyalk?,what do you grow in your garden?,سهنو كاتخارس ف جاردا ديالك?
sh7al mn mrra kat5rs lbasla?,how often do you growonions?,سهحال من مرّا كاتخرس لباسلا?
sh7al mn merra kats9i jarda dyalk?,how often do you water your garden?,سهحال من مرّا كاتسقي جاردا ديالك?
nhar kamel wana khdam f jarda dyali,i worked in my garden all day,نهار كامل وانا خدام ف جاردا ديالي
kidayr lmantouj had l3am?,how is the harvest this year?,كيداير لمانتوج هاد لعام?
khask tsqi jarda,you need to water the garden,خاسك تسقي جاردا
wash 3jbatk l9asabat mlli t3awdo?,do you like castles being restored?,واسه عجباتك لقاسابات ملّي تعاودو?
shno lmaterial lli tatst3mlo f lbni?,what materiels do you use in the construction?,سهنو لماتريال اللي تاتستعملو ف لبني?
shno tatfdl wash lbni l9dim olla jdid?,"what do you prefer, building traditionally or modern?",سهنو تاتفدل واسه لبني لقديم أُلّا جديد?
kif dayrin m3a l5edma?,how is the construction going?,كيف دايرين معا لخدمة?
wash n3awnkom ?,can i help you?,واسه نعاونكوم ?
sh7al f3mr had lbinaya?,how old is the building?,سهحال فعمر هاد لبينايا?
wash 3aysh fhad lbinaya?,do you live in this building?,واسه عايسه فهاد لبينايا?
sh7al mn byot kaynin?,how many rooms are there?,سهحال من بيوت كاينين?
3afak fin kayn lm3lm?,where is the craftsman please?,عافاك فين كاين لمعلم?
wach nta tourist?,are you a tourist?,واش نتا توريست?
wach nti tourist?,are you a tourist?,واش نتي توريست?
sme7 li 5anmchi n3ess,"excuse me, i want to go to bed",سمح لي خانمشي نعسّ
bghit manta,i want a blanket,بغيت مانتا
bghit n5sel yedi bsaboun,i want to wash my hands with soap,بغيت نخسل يدي بسابون
hadi sa3tayn u ana kantsnak,i've been waiting for you for two hours,هادي ساعتاين و أنا كانتسناك
hadi muda u huwa na3es,he's been asleep for a long time,هادي مودا و هو ناعس
hadi tlt snin u huwa flma5rib,he's been in morocco for three years,هادي تلت سنين و هو فلماخريب
bghit n5sl snani,i want to brush my teeth,بغيت نخسل سناني
bghit lma s5un 3afak,"i want hot water, please",بغيت لما سخون عافاك
bghit ndewech,i want to take a shower,بغيت ندوش
bghit nmchi l7emmam,i want to go to the hammam,بغيت نمشي لحمّام
bghit nbdel 7wayji,i want to change my clothes,بغيت نبدل حوايجي
bġit nsbbn 7wayji,i want to do laundry,بġيت نسبّن حوايجي
fin ymkn nsebn 7wayji,where can i do laundry?,فين يمكن نسبن حوايجي
ana mrid,i'm sick,أنا مريد
ana mrida,i'm sick,أنا مريدا
bghit nrta7 shwiya,i want to rest a bit,بغيت نرتاح سهويا
briti chwiya?,do you feel better?,بريتي شويا?
bghit nmchi l,i want to go to,بغيت نمشي ل
ddini l  3afak,take me to  please,الديني ل عافاك
w9ef hna 3afak,"stop here, please",وقف هنا عافاك
wech lkuntur 5eddam?,is the meter on?,وش لكونتور خدّام?
5eddm lkuntur 3afak,"turn on the meter, please",خدّم لكونتور عافاك
lla ybark fik,may god grant you grace,اللا يبارك فيك
mafhmtch,i don't understand,مافهمتش
man3ref,i don't know,مانعرف
bchwiya 3afak,slowly please,بشويا عافاك
3awd 3afak,repeat please,عاود عافاك
3awdi 3afak,repeat please,عاودي عافاك
achnou glti?,what did you say?,أشنو ڭلتي?
wach 3ndk serf?,do you have change?,واش عندك سرف?
wach 3ndk serf dyal?,do you have change for  ?,واش عندك سرف ديال?
bghit ness itru dl7lib,i want ½ a liter of milk,بغيت نسّ إترو دلحليب
mi ma5ddamach,my mom doesn‟t work,مي ماخدّامةش
ba u mmi mtll9in,my mom and dad are divorced,با و المي متلّقين
3ndi juj 5out twam,i have two twin siblings,عندي جوج خوت توام
ch7al dl5out 3ndek?,how many siblings do you have?,شحال دلخوت عندك?
ch7al mn 5watat 3ndek?,how many sisters do you have?,شحال من خواتات عندك?
chnou smit bak ?,what's your father's name?,شنو سميت باك ?
ch7al f3mer 5ouk ?,how old is your brother?,شحال فعمر خوك ?
3endi 5oya s5er meni,i have a younger brother,عندي خويا سخر مني
ana ou weld 3eni 3dna nfss l3mer,my (male) cousin and i are the same age,أنا و ولد عني عدنا نفسّ لعمر
5ti lkbira oustada,my older sister is a teacher,ختي لكبيرا وستادا
5oya sghir kaymchi lmadrassa,my younger brother goes to school,خويا سغير كايمشي لمادراسّا
kifesh ghadi t9dar tgoul lia?,how will you be able to tell me?,كيفسه غادي تقدار تڭول ليا?
"ana daba mzyan, achno 3ndak?","i'm good now, what do you have?","أنا دابا مزيان, أشنو عنداك?"
wach fhamti chi 7aja?,did you understand something?,واش فهامتي شي حاجا?
"nti zwiwna, wach bghiti tkon m3aya?","you're sweet, do you want to be with me?","نتي زويونا, واش بغيتي تكون معايا?"
bghit n3raf ach kayn?,i want to know what's happening?,بغيت نعراف أش كاين?
wach smitak 3awtani?,what's your name again?,واش سميتاك عاوتاني?
ana ghadi nfeker fhadshi,i'm going to think about this,أنا غادي نفكر فهادسهي
shkun 3aref ach kayn?,who knows about what's going on?,سهكون عارف أش كاين?
ana bghit n9der nchri hadshi,i want to be able to buy this,أنا بغيت نقدر نشري هادسهي
kifesh kat9der tgoul hadshi?,how can you say this?,كيفسه كاتقدر تڭول هادسهي?
ana ghadi nfeker f hadshi bzzaf,i'm going to think about this a lot,أنا غادي نفكر ف هادسهي بزّاف
hada ktab,this is a book,هادا كتاب
tonobil lli 7amra ghaliya,the car which is red is expensive,تونوبيل اللي حامرا غاليا
omar atwal rajel f lmdina,omar is the tallest man in the city,أُمار أتوال راجل ف لمدينة
"lbar7, chrbt atay blaskkar","yesterday, i drank tea without sugar","لبارح, شربت أتاي بلاسكّار"
"simana lli fatt, said ktb bra l sa7bu","last week, said wrote a letter tohis friend","سيمانا اللي فاتّ, سايد كتب برا ل ساحبو"
"l3am lli fat, safrna lnew york","last year, we traveled to newyork","لعام اللي فات, سافرنا لنو يورك"
"l7ed lli fat, mchit llmdina u chrit jllaba","last sunday, i went to the medina and bought a jellaba","لحد اللي فات, مشيت اللمدينة و شريت جلّابا"
huma 5naw f l7fla nhar sbt,they sang at the party on saturday,هوما خناو ف لحفلة نهار سبت
7llit chrjm u sddit lbab,i opened the window and i closed the door,حلّيت شرجم و سدّيت لباب
7ssit blbrd,i felt cold,حسّيت بلبرد
ma3erni kleet lsandwich,i've never eaten hamburger,ماعرني كليت لساندويش
ma3merha safrat l l5arij,she has never been abroad,ماعمرها سافرات ل لخاريج
ma3emru tkllm l3rbiya,he has never spoken arabic,ماعمرو تكلّم لعربيا
ach kadir hna?,what are you doing here?,أش كادير هنا?
ach kadiri hna?,what are you doing here?,أش كاديري هنا?
ana f 3otla,i am on holiday,أنا ف عوتلا
hna f 3otla,we are on holiday,هنا ف عوتلا
ana msafr 3la 9bel l5edma,i am on a business trip,أنا مسافر على قبل لخدمة
kana5dam hna,i work here,كاناخدام هنا
kan5admo hna,we work here,كانخادمو هنا
chno houma blayes lmakla lmezianin?,where are the good places to go out and eat?,شنو هوما بلايس الماكلة لمزيانين?
kayn chi mat7af 9rib man hna?,is there a museum in the neighbourhood?,كاين شي ماتحاف قريب مان هنا?
fin na9dar ntkonikta?',where could i get an internet connection?,فين ناقدار نتكونيكتا?'
fhamt,i get it,فهامت
wach bghiti t3alem ba3ed lkalmat ?,do you want to learn a few words?,واش بغيتي تعالم باعد لكالمات ?
bghiti t3almi thadri lourti?,do you want to learn my language?,بغيتي تعالمي تهادري لورتي?
"ayah, tab3an","yes, sure!","أياه, تابعان"
asmit hada?,what's this called?,أسميت هادا?
hadi tabla,it's a table,هادي تابلا
ach moumkin t3awadi 3afak ?,can you repeat please?w,أش مومكين تعاوادي عافاك ?
wach momkin thadri bachwiya?,"can you talk a bit more slowly, please ?",واش مومكين تهادري باشويا?
wach yamkan lik tkatbiha 3afak?,"could you write it down, please?",واش يامكان ليك تكاتبيها عافاك?
3ajbni loun had tabla,i like the colour of this table,عاجبني لون هاد تابلا
imta jiti lahna?,when did you get here?,إمتا جيتي لاهنا?
ch7al radi tab9a hna?,how long are you staying for?,شحال رادي تابقا هنا?
ghadi namchi 5adda,i'm leaving tomorrow,غادي نامشي خادّا
ghadi namchi ba3ed ghadda,i'll be leaving the day after tomorrow,غادي نامشي باعد غادّا
ghadi namchi ba3ed talt yam,i'll be leaving in three days,غادي نامشي باعد تالت يام
chmen sa3a ghadi tamchi?,what time are you leaving at?,شمن ساعا غادي تامشي?
sba7 m3a tmanya,"morning, at eight o'clock",سباح معا تمانيا
"sbah, m3aa tmanya o rba3","morning, at a quarter past 8","سباه, معا تمانيا أُ رباع"
"sbah, m3a tmanya o nas","morning, at half past 8","سباه, معا تمانيا أُ ناس"
"sba7, m3a tmanya o 5amsa ourab3in","morning, at a quarter to nine","سباح, معا تمانيا أُ خامسا ورابعين"
ana m3atal,i am late,أنا معاتال
ana m3atla,i am late,أنا معاتلا
fin ghadia?,where would you like to go?,فين غاديا?
ghadia l ma7atta,i'm going to the train station,غاديا ل ماحاتّا
ghadia lfondo9,i'm going to the hotel,غاديا لفوندوق
momkin twaslini 3afak l matar?,"can you take me to the airport, please?",مومكين تواسليني عافاك ل ماتار?
wach yamkan lik ta5ed lbagaj diali?,can you take my luggage?,واش يامكان ليك تاخد لباڭاج ديالي?
wach b3idd mn hna?,is it far from here?,واش بعيدّ من هنا?
"la, 9rib",no it's close,"لا, قريب"
b3aid chwiya,yes it's a little bit further away,بعايد شويا
bch7al?,how much will it be?,بشحال?
dini hna 3afak,"take me there, please",ديني هنا عافاك
sir 3la liman,you go right,سير على ليمان
sir 3la lisar,you go left,سير على ليسار
kayn nichan,it's straight on,كاين نيشان
kayn hna,it's right here,كاين هنا
hna,it's that way,هنا
w9af!,stop!,وقاف!
khoud wa9tak,take your time,خود واقتاك
momkin ta3etini factoura 3afak?,"can i have a receipt, please?",مومكين تاعتيني فاكتورا عافاك?
3andak l3a2ila hna?,do you have family here?,عانداك لعائلا هنا?
kanb5i bladkom bazzaf,i really like your country,كانبخي بلادكوم بازّاف
kanb5ik,i love you,كانبخيك
ana farhan,i am happy,أنا فارهان
ana m9ala9,i am sad,أنا مقالاق
kan7as brasi mazyan,i feel great here,كانحاس براسي مازيان
fiya lbard,i am cold,فيا لبارد
fiya sahd,i am hot,فيا ساهد
kbir bazzaf,it's too big,كبير بازّاف
s5ir bazzaf,it's too small,سخير بازّاف
wa nadi,it's perfect,وا نادي
bghiti takhroj lyuma flil?,do you want to go out tonight?,بغيتي تاخروج ليوما فليل?
bghit nakhroj lyom flil,i would like to go out tonight,بغيت ناخروج ليوم فليل
fikra mazyana,it is a good idea,فيكرا مازيانا
ba5i nachat,i want to have fun,باخي ناشات
ba5ya nachat,i want to have fun,باخيا ناشات
la machi fikra mazyana,it is not a good idea,لا ماشي فيكرا مازيانا
maba5ich nakhroj lyoum,i don't want to go out tonight,ماباخيش ناخروج ليوم
ba5i narta7,i want to rest,باخي نارتاح
bghit ndir riyada?,would you like to do some sport?,بغيت ندير ريادا?
"ah, ba5i nerta7","yes, i need to relax","أه, باخي نرتاح"
kanl3ab tinnis,i play tennis,كانلعاب تينّيس
"la, choukran 3ayan bazzaf",no thanks i am tired already,"لا, شكرا عايان بازّاف"
tachrab chi 7aja?,would you like to have a drink?,تاشراب شي حاجا?
bkol fara7,with pleasure,بكول فاراح
chno li bghiti ?,what would you like?,شنو لي بغيتي ?
kayn lma oula l3assir,there is water or fruit juices,كاين لما ولا لعاسّير
momkin tzid lglacon 3afak?,"can you add some ice cubes, please?",مومكين تزيد لڭلاكون عافاك?
"walou, choukran","nothing, thanks","والو, شكرا"
bse7a,cheers!,بسحا
la7sab 3afak,can we have the bill please?,لاحساب عافاك
"sma7 lia, ch7al 5a n5alas ?","excuse me, how much do i owe?","سماح ليا, شحال خا نخالاس ?"
3arda 3lik,it's on me,عاردا عليك
fin n9adrou naklou?,where can we eat?,فين نقادرو ناكلو?
fin n9adrou net5adaw?,where can we have lunch?,فين نقادرو نتخاداو?
"b5ii takol lbid m5alet, ma9li oula maslou9?",what do you want to eat scrambled eggs or fried eggs or a boiled egg,"بخيّ تاكول لبيد مخالت, ماقلي ولا ماسلوق?"
momkin ta3tini mouss 3afak?,"can i have a knife, please?",مومكين تاعتيني موسّ عافاك?
"wa5a, ana ghadi njibo lik daba","yes, i'll bring it to you right away","واخا, أنا غادي نجيبو ليك دابا"
wach hada taba9 s5on?,is it a warm dish?,واش هادا تاباق سخون?
"ah, was5oun bzzaf !","yes, very hot also!","أه, واسخون بزّاف !"
ghadi na5oud l7out,i'll have fish,غادي ناخود لحوت
7ta ana,me too,حتا أنا
"t3atel lwa9t, 5asni namchi","it's late, i have to go!","تعاتل لواقت, خاسني نامشي"
wach n9adrou natchawfou mara 5ra,shall we meet again?,واش نقادرو ناتشاوفو مارا خرا
kanskon hna,this is my address,كانسكون هنا
wach 3andek ra9m tilifoun,do you have a phone number?,واش عاندك راقم تيليفون
dawazt m3ak wa9t zwin,i had a lovely time,داوازت معاك واقت زوين
"7ta ana, mezian mni tlakina","me too, it was a pleasure to meet you","حتا أنا, مزيان مني تلاكينا"
ghadi netlakaw 9rib,we will see each other soon,غادي نتلاكاو قريب
inchaallah,i hope so too,إنشالّاه
b'slama,goodbye,ب'سلاما
ntla9aw 5adda,see you tomorrow,نتلاقاو خادّا
"3afak, kan 9alab 3la toubiss?",excuse me! i'm looking for the bus stop,"عافاك, كان قالاب على توبيسّ?"
ch7al tiki lmdina 3afak?,how much is a ticket to the city?,شحال تيكي لمدينة عافاك?
fin ghadi had tran 3afak?,"where does this train go, please?",فين غادي هاد تران عافاك?
wach had tran kayew9af flmdina?,does this train stop at the city?,واش هاد تران كايوقاف فلمدينة?
imta kayamchi tran lmdina?,when does the train for the city leave?,إمتا كايامشي تران لمدينة?
imta kayji tran dyal mdina?,when will this train arrive in the city?,إمتا كايجي تران ديال مدينة?
tiki lmdina 3afak?,"a ticket for the city, please",تيكي لمدينة عافاك?
wach 3andak taw9it dial ltranat ?,do you have the train's time table?,واش عانداك تاوقيت ديال لترانات ?
fin howa tran dial lmdina 3afak?,"excuse me, which train goes to the city?",فين هو تران ديال لمدينة عافاك?
3andak chi bit 5awi?,do you have a room available?,عانداك شي بيت خاوي?
kayn chi hammam fel bit?,is there a bathroom in the room?,كاين شي هامّام فل بيت?
wach katfadel jouj namousiyat dyal cha5ss wa7ed?,would you prefer two single beds?,واش كاتفادل جوج ناموسيات ديال شاخسّ واحد?
bghiti ghorfa mozdawaja?,do you wish to have a twin room?,بغيتي غورفا موزداواجا?
bch7al lila?,how much is it for a night?,بشحال ليلة?
bghit nchof 3afak chambre hia lawla ?,i would like to see the room first,بغيت نشوف عافاك شامبر هيا لاولا ?
"ayah, ma3eloum","yes, of course","أياه, ماعلوم"
"choukran, lbit mazian","thank you, the room is very nice","شكرا, لبيت مازيان"
"wa5a, wach yamkan liya na7jaz lhad lila ?","ok, can i reserve for tonight?","واخا, واش يامكان ليا ناحجاز لهاد ليلة ?"
"ghalya 3liya, choukran","it's a bit too much for me, thank you","غاليا عليا, شكرا"
momkin lik tdi liya lbagage dyali 3afak?,"could you take care of my luggage, please?",مومكين ليك تدي ليا لباڭاڭ ديالي عافاك?
fin kayen biti aafak?,"where is my room, please?",فين كاين بيتي افاك?
fi taba9 lawal,it is on the first floor,في تاباق لاوال
kayn sansour?,is there a lift?,كاين سانسور?
sansour 3ala lisar dialek,the elevator is on your left,سانسور عالا ليسار ديالك
sansour 3ala liman dialek,the elevator is on your right,سانسور عالا ليمان ديالك
fin kayna lmasbana?,"where is the laundry room, please?",فين كاينا لماسبانا?
kayen ftaba9 safli,it is on the ground floor,كاين فتاباق سافلي
5alina natla9aw f 9a3at lijtima3at,let's meet in the meeting room?,خالينا ناتلاقاو ف قاعات ليجتيماعات
la pissin s5oun,the swimming pool is heated,لا پيسّين سخون
fay9kini m3a sab3a 3afak,"please, wake me up at seven am",فايقكيني معا سابعا عافاك
ssarout 3afak,"the key, please",الساروت عافاك
wach kaynin chi missajat liya?,are there any messages for me?,واش كاينين شي ميسّاجات ليا?
"ah, hahoma","yes, here you are","أه, هاهوما"
"la, matwasaltch bchi 7aja dialek","no, we didn't receive anything for you","لا, ماتواسالتش بشي حاجا ديالك"
fin na9dar nsarraf?,where can i get some change?,فين ناقدار نسارّاف?
wach momkin tsarfi liya 3afak?,please can you give me some change?,واش مومكين تسارفي ليا عافاك?
wach sara hna 3afak?,"excuse me, is sarah here?",واش سارا هنا عافاك?
"ah, hahiya hna","yes, she's here","أه, هاهيا هنا"
"la, kharjat",she's out,"لا, خارجات"
momkin t3ayet liha fil portable?,you can call her on her mobile phone,مومكين تعايت ليها فيل پورتابل?
wach 3aref fin na9dar nal9aha?,do you know where i could find her?,واش عارف فين ناقدار نالقاها?
hiya fel 5adma,she is at work,هيا فل خادما
hiya fdarha,she is at home,هيا فدارها
wach joulian hna 3afak?,"excuse me, is julien here?",واش جوليان هنا عافاك?
"la,5raj",he's out,"لا,خراج"
wach 3arfa fin na9dar nal9aha?,do you know where i could find him?,واش عارفا فين ناقدار نالقاها?
wach momkin t3ayti liha fel portable?,you can call him on his mobile phone,واش مومكين تعايتي ليها فل پورتابل?
howa fel 5adma,he is at work,هو فل خادما
howa f darou,he is at home,هو ف دارو
fin na9dar nachri koura?,do you know where i can buy a ball?,فين ناقدار ناشري كورة?
kayen 7anout f had jiha,there is a store in this direction,كاين حانوت ف هاد جيها
wach 5atar l3ouman hna?,is it dangerous to swim here?,واش خاتار لعومان هنا?
la machi 5atar,"no, it is not dangerous",لا ماشي خاتار
"ah, l3ouman memnou3 hna","yes, it is forbidden to swim here","أه, لعومان ممنوع هنا"
achnou hiya a7wal ta9ss dyal 5adda?,what is the weather forecast for tomorrow?,أشنو هيا أحوال تاقسّ ديال خادّا?
ljaw ghadi yatbadal,the weather is going to change,لجاو غادي ياتبادال
5adya ti7 chta,it is going to rain,خاديا تيح شتا
5adya tkoun chamch,t will be sunny,خاديا تكون شامش
5aykoun ri7 bzzaf,it will be very windy,خايكون ريح بزّاف
wach t9edri t3awanini 3afak?,"can you help me, please?",واش تقدري تعاوانيني عافاك?
twadart,i'm lost,توادارت
ach hab l5ater?,what would you like?,أش هاب لخاتر?
ach w9a3?,what happened?,أش وقاع?
fin na9der nal9a moutarjim?,where could i find an interpreter?,فين ناقدر نالقا موتارجيم?
kayn chi farmasian 9rib men hna?,where is the nearest chemist's shop?,كاين شي فارماسيان قريب من هنا?
momkin t3ayti lchi tbib?,"can you call a doctor, please",مومكين تعايتي لشي تبيب?
ach min dwa mtabe3 daba?,which kind of treatment are you undergoing at the moment?,أش مين دوا متابع دابا?
twadrou liya laoura9,i lost my papers,توادرو ليا لاوراق
tsar9ou liya laoura9,my papers have been stolen,تسارقو ليا لاوراق
ba3ed mni,leave me alone!,باعد مني
sir f7alek,go away!,سير فحالك
kon sb3 o koulni,be a lion and eat me,كون سبع أُ كولني
kaydo99 wigoul chkoun,he knocks and says who is there,كايدوقّ ويڭول شكون
walaw tart m3za,when pigs fly,والاو تارت معزا
9tra b 9tra kay7ml lwad,little drops make the mighty ocean,قترا ب قترا كايحمل لواد
sdd tl9a mat7ell,lock so that you can find what to unlock,سدّ تلقا ماتحلّ
lli 5af nja,he who fears survives,اللي خاف نجا
l3in basira olyed 9asira,the eyes see but the hands cannot reach,لعين باسيرا أُليد قاسيرا
ssara7a ra7a,frankness is peace of mind,الساراحا راحا
ssadi9 we9t ddi9,a friend in need is a friend indeed,الساديق وقت الديق
5irha f 5irha,better luck next time,خيرها ف خيرها
knt 3arf 5aykoun youm 5ayb,he knew it was going to be a bad day,كنت عارف خايكون يوم خايب
3emert sa7bi bzit dial s5ar,i covered my friend in baby oil,عمرت ساحبي بزيت ديال سخار
ila ma3jbatnich l7aja kan3ed mnha,"if i don't like something, i'll stay away from it",إلا ماعجباتنيش لحاجا كانعد منها
ndmat 3la hadik lw9ita,he still regretted that specific moment,ندمات على هاديك لوقيتا
ma5an5liwkch tjib lkelb dialk,we will not allow you to bring your dog,ماخانخليوكش تجيب لكلب ديالك
9erer y3ich l7ayat,he decided to enjoy his life,قرر يعيش الحياة
kayna wa7d rissala lfo9 ila hziti rassek,there's a message for you if you look up,كاينا واحد ريسّالا لفوق إلا هزيتي راسّك
bira dafya fnhar bared machi a7ssen fikra,warm beer on a cold day isn't my idea of fun,بيرا دافيا فنهار بارد ماشي أحسّن فيكرا
ljew zwin lyouma,the weather is good today,لجو زوين ليوما
7na ghadin lb7er,we are going to the beach,حنا غادين لبحر
chrit 7wyaj jadad,i bought new clothes,شريت حوياج جاداد
rebit kelb,i adopted a dog,ربيت كلب
t9edit l5edra ou ldessert,i bought fruits and veggies,تقديت لخضرا و لدسّرت
7essent che3ri,i got a haircut,حسّنت شعري
syebt tilifouni,i fixed my phone,سيبت تيليفوني
had l2oughniya zwina,this song is beautiful,هاد لأوغنيا زوينا
makanfhmech had lougha,i dont understand this language,ماكانفهمش هاد لوغا
telfaza 5essrat,the tv broke down,تلفازا خسّرات
5assni nmchi n5eless moul l7anout,i have to go pay the supermarket,خاسّني نمشي نخلسّ مول لحانوت
drebni lberd fsayf,i caught cold this summer,دربني لبرد فسايف
